Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/admin/backup,24,0,16,32.14926304129525,6.871608002256835,321.4347840003029,207.0,0.1342986472325143,0.0,16,21,27,36,50,55,320,320,320,320,320
GET,/admin/users,76,0,15,54.645109407829295,7.021494999207789,473.07665900007123,207.0,0.42527904956962864,0.0,17,29,42,55,160,370,390,470,470,470,470
GET,/api/ai/stats,330,0,15,45.03723208480083,6.884701000672067,578.0930139990232,207.0,1.8466063994470716,0.0,15,24,32,46,130,220,340,440,580,580,580
GET,/api/dashboard,430,0,39,92.38144164397497,17.119465999712702,1646.8505740012915,15922.0,2.4061840962492145,0.0,39,58,85,110,240,350,670,740,1600,1600,1600
GET,/change-control,177,0,17,44.62166660438005,7.08317899989197,712.4168899972574,207.0,0.990452523339793,0.0,17,27,36,52,93,220,340,380,710,710,710
POST,/change-control/request/create,61,0,17,69.12510742613001,7.333326997468248,448.39833000150975,207.0,0.3413423950493072,0.0,17,32,61,77,290,330,380,450,450,450,450
GET,/dashboard,504,0,35,89.97430158940857,17.29823999994551,896.7155489990546,15922.0,2.8202715918828005,0.0,35,52,77,100,220,390,680,780,900,900,900
POST,/login,50,0,140.0,179.83956078001938,44.5837000006577,750.8633479992568,15931.0,0.2797888484010715,0.0,140,160,190,210,450,590,750,750,750,750,750
GET,/logs,266,0,14,35.855097300630135,6.879126001877012,385.61576299980516,207.0,1.4884766734937003,0.0,14,23,31,38,95,160,260,280,390,390,390
GET,/reports,209,0,37,80.41977915771108,17.12450299964985,892.213625000295,15922.0,1.1695173863164787,0.0,37,52,70,120,200,290,370,470,890,890,890
GET,/reports/export/pdf,32,0,14,52.14166793734876,7.129808000172488,395.0091619990417,207.0,0.17906486297668572,0.0,14,19,48,52,130,320,400,400,400,400,400
GET,/settings,109,0,15,40.34431719268168,7.15006800237461,393.3378779984196,207.0,0.6099396895143357,0.0,15,23,30,44,75,260,290,360,390,390,390
GET,/training,110,0,15,47.7408697361997,7.01245900199865,356.9755489988893,207.0,0.6155354664823572,0.0,15,28,42,54,150,250,320,340,360,360,360
GET,/validation,139,0,13,38.43942720882394,7.061068998154951,430.7700549979927,207.0,0.7778129985549787,0.0,13,22,34,44,98,190,260,330,430,430,430
GET,/validation/documents,65,0,17,57.81031801530984,7.156752999435412,506.864470000437,207.0,0.3637255029213929,0.0,17,24,43,73,160,280,410,510,510,510,510
GET,/validation/export/iq-template,107,0,14,37.56337271975141,7.1243840029637795,544.1273870019359,207.0,0.5987481355782929,0.0,14,22,28,32,100,150,250,400,540,540,540
GET,/validation/tests,204,0,15,40.05604266163287,6.8962190016463865,477.412918000482,207.0,1.1415385014763715,0.0,15,20,30,34,120,170,300,320,480,480,480
,Aggregated,2893,0,24,63.91939982261616,6.871608002256835,1646.8505740012915,6687.6239198064295,16.188582768485993,0.0,24,38,55,74,160,280,440,590,900,1600,1600
